material_id,material_name,material_category,subcategory,application,unit,cost_per_unit_inr_low,cost_per_unit_inr_high,cost_per_unit_inr_avg,districts_available,districts_expensive,thermal_performance,climate_zone_suitability,sustainability_rating,baker_recommended,local_availability,carbon_footprint,skill_level_required,typical_thickness_mm,compressive_strength_mpa,thermal_conductivity_w_mk,water_resistance,maintenance_frequency,lifespan_years,nbc_approved,is_load_bearing,wall_drawing_color_hex,hatch_pattern,notes
61,IPS Floor (Indian Patent Stone),FLOORING,Cement Floor,Utility area and servant quarters,sqm,100,180,140,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",3,0,MANUFACTURED,MEDIUM,SKILLED,25,,1.1,GOOD,10_YEARS,40,1,,,,Cement-sand-oxide polished floor. Cost-effective for budget TN housing. Can add colour.
62,Kota Stone Floor (Blue),FLOORING,Kota Stone,Parking and external walkway,sqm,300,500,400,ALL,,GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",3,0,REGIONALLY_SOURCED,LOW,SKILLED,25,50,1.4,GOOD,5_YEARS,60,1,,,,Imported from Rajasthan. Good for TN car porches. Anti-skid natural finish.
63,Shahabad Stone Floor (Yellow),FLOORING,Shahabad Stone,Corridor and semi-outdoor area,sqm,280,450,365,ALL,,GOOD,"Hot_Humid,Hot_Dry,Composite",3,1,REGIONALLY_SOURCED,LOW,SKILLED,30,40,1.2,GOOD,5_YEARS,50,1,,,,From Karnataka. Popular in TN for corridors. Yellow tint complements traditional architecture.
64,Burma Teak Door Frame (First Quality),DOOR_WINDOW,Teak,Main entrance door,running_m,3500,5500,4500,ALL,,GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,IMPORTED,LOW,SKILLED,100,,0.17,GOOD,5_YEARS,80,1,,,,Season teak for minimum 2 years. Apply teak oil or melamine finish. Anti-termite treatment essential in TN.
65,Burma Teak Door Shutter (35mm Solid),DOOR_WINDOW,Teak,Main entrance door panel,sqm,6000,9000,7500,ALL,,GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,IMPORTED,LOW,SKILLED,35,,0.17,GOOD,5_YEARS,80,1,,,,Season teak for minimum 2 years. Apply teak oil or melamine finish. Anti-termite treatment essential in TN.
66,Nilambur Teak Door Frame,DOOR_WINDOW,Teak,Main entrance and pooja room door,running_m,2800,4200,3500,"Kanniyakumari,Tirunelveli,Coimbatore,Nilgiris","Chennai,Tiruchirappalli",GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",3,1,REGIONALLY_SOURCED,LOW,SKILLED,100,,0.17,GOOD,5_YEARS,70,1,,,,Season teak for minimum 2 years. Apply teak oil or melamine finish. Anti-termite treatment essential in TN.
67,Country Wood Door Frame (Vengai/Indian Kino),DOOR_WINDOW,Country Wood,Interior door and window frame,running_m,1200,2000,1600,"Nilgiris,Coimbatore,Erode,Dindigul,Theni",Chennai,GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",3,1,LOCALLY_SOURCED,VERY_LOW,SKILLED,85,,0.15,AVERAGE,5_YEARS,50,1,,,,Vengai (Pterocarpus marsupium) from Western Ghats. Hard and termite-resistant. Apply cashew nut shell oil.
68,Sal Wood Door Frame,DOOR_WINDOW,Sal Wood,Exterior door frame,running_m,1800,2800,2300,ALL,,GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",3,0,REGIONALLY_SOURCED,LOW,SKILLED,100,,0.16,GOOD,5_YEARS,60,1,,,,Sal from north India. Good durability in TN climate. Heavier than teak. Apply linseed oil.
69,Sal Wood Door Shutter (30mm Panelled),DOOR_WINDOW,Sal Wood,Bedroom and bathroom door,sqm,3500,5500,4500,ALL,,GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",3,0,REGIONALLY_SOURCED,LOW,SKILLED,30,,0.16,GOOD,5_YEARS,60,1,,,,Sal from north India. Good durability in TN climate. Heavier than teak. Apply linseed oil.
70,Flush Door Shutter (Commercial Grade),DOOR_WINDOW,Flush Door,Interior bedroom and bathroom door,sqm,800,1400,1100,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SEMI_SKILLED,35,,0.14,POOR,10_YEARS,20,1,,,,Use BWR grade for all wet areas in TN's humid climate. Centuryply/Greenply brands widely available.
71,Flush Door Shutter (BWR Marine Grade),DOOR_WINDOW,Flush Door,Bathroom and kitchen door,sqm,1200,2000,1600,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SEMI_SKILLED,35,,0.14,GOOD,10_YEARS,25,1,,,,Use BWR grade for all wet areas in TN's humid climate. Centuryply/Greenply brands widely available.
72,WPC Door Frame (Wood Polymer Composite),DOOR_WINDOW,WPC,Bathroom and kitchen door frame,running_m,350,550,450,ALL,,AVERAGE,"Hot_Humid,Warm_Humid",3,0,MANUFACTURED,MEDIUM,SEMI_SKILLED,75,,0.25,EXCELLENT,NONE,30,1,,,,Completely waterproof. Ideal for TN bathroom doors. No painting needed. Termite-proof.
73,"UPVC Window Frame (White, 3-Track)",DOOR_WINDOW,UPVC,Sliding window all rooms,sqm,450,700,575,ALL,,GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,HIGH,SPECIALIST,60,,0.16,EXCELLENT,NONE,25,1,,,,Good sound and thermal insulation. Fenesta/Lingel brands in TN. UV-stabilized for TN sun.
74,"UPVC Window Frame (Wood Finish, 2-Track)",DOOR_WINDOW,UPVC,Sliding window bedroom and living,sqm,500,800,650,ALL,,GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,HIGH,SPECIALIST,60,,0.16,EXCELLENT,NONE,25,1,,,,Good sound and thermal insulation. Fenesta/Lingel brands in TN. UV-stabilized for TN sun.
75,Aluminium Window Frame (Anodized Silver),DOOR_WINDOW,Aluminium,Casement and sliding window,sqm,350,550,450,ALL,,POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,HIGH,SKILLED,40,,200,EXCELLENT,NONE,30,1,,,,"Jindal/Hindalco profiles. Powder coat for coastal TN (Chennai, Thoothukudi). Glass thickness min 5mm."
76,Aluminium Window Frame (Powder Coated),DOOR_WINDOW,Aluminium,Premium casement window,sqm,450,700,575,ALL,,POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,HIGH,SKILLED,40,,200,EXCELLENT,NONE,35,1,,,,"Jindal/Hindalco profiles. Powder coat for coastal TN (Chennai, Thoothukudi). Glass thickness min 5mm."
77,MS Steel Window Frame (Z-Section),DOOR_WINDOW,Steel,Budget window for utility and staircase,sqm,250,400,325,ALL,,POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,HIGH,SKILLED,35,,50,AVERAGE,5_YEARS,30,1,,,,Budget option. Needs regular painting in TN humidity. Red oxide primer + enamel paint.
78,MS Steel Grille (Window Security),DOOR_WINDOW,Steel,Window security grille all floors,sqm,300,500,400,ALL,,POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,HIGH,SKILLED,12,,50,AVERAGE,5_YEARS,30,1,,,,Essential security feature in TN homes. Hot-dip galvanize for coastal areas. MS square bar 12mm typical.
79,FRP Door Shutter (Fibre Reinforced Plastic),DOOR_WINDOW,FRP,Bathroom and toilet door,per_piece,2500,4500,3500,ALL,,AVERAGE,"Hot_Humid,Warm_Humid",2,0,MANUFACTURED,HIGH,SEMI_SKILLED,30,,0.3,EXCELLENT,NONE,20,1,,,,Waterproof bathroom door. Available in wood-grain finish. Sintex/Nilkamal brands in TN.
80,Teak Carved Main Door (Chettinad Style),DOOR_WINDOW,Teak,Main entrance heritage style,per_piece,45000,85000,65000,"Sivaganga,Ramanathapuram,Pudukkottai,Madurai","Chennai,Coimbatore",GOOD,"Hot_Humid,Hot_Dry",2,0,LOCALLY_SOURCED,LOW,SPECIALIST,50,,0.17,GOOD,5_YEARS,100,1,,,,Karaikudi craftsmen specialize in traditional carved doors. Antique doors recycled from Chettinad mansions also available.
81,Bamboo Window Shutter (Lattice),DOOR_WINDOW,Bamboo,Ventilation window and jaali,sqm,200,400,300,"Tirunelveli,Tenkasi,Kanniyakumari,Dindigul","Chennai,Tiruchirappalli",GOOD,"Hot_Humid,Warm_Humid",5,1,LOCALLY_SOURCED,VERY_LOW,SPECIALIST,25,,0.17,POOR,ANNUAL,10,1,,,,Traditional lattice work for cross-ventilation. Baker-style jaali design. Treat with borax solution.
82,"Cement Plaster (1:4 Sand-Cement, 12mm)",FINISHING,Cement Plaster,Interior wall plaster,sqm,35,55,45,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SKILLED,12,,,AVERAGE,10_YEARS,30,1,,,,Standard TN interior plaster. Use river sand M-sand mix. PPC cement preferred.
83,"Cement Plaster (1:6 Sand-Cement, 20mm)",FINISHING,Cement Plaster,Exterior wall plaster,sqm,45,70,57.5,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SKILLED,20,,,AVERAGE,10_YEARS,25,1,,,,Double coat exterior. Add waterproofing compound for coastal TN. Chicken mesh at RCC-masonry junction.
84,"Lime Plaster (Shell Lime, Traditional)",FINISHING,Lime Plaster,Heritage and eco-friendly wall finish,sqm,60,100,80,"Kanniyakumari,Tirunelveli,Tenkasi,Ramanathapuram","Chennai,Coimbatore",GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",5,1,LOCALLY_SOURCED,VERY_LOW,SPECIALIST,15,,,GOOD,10_YEARS,50,1,,,,Shell lime from Ramanathapuram coast. Breathable finish—prevents dampness in TN humidity. Baker's preferred plaster.
85,Lime Plaster (Surkhi Lime),FINISHING,Lime Plaster,Foundation and below-grade plaster,sqm,55,85,70,ALL,,GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",4,1,LOCALLY_SOURCED,LOW,SPECIALIST,15,,,GOOD,10_YEARS,60,1,,,,Brick powder (surkhi) + lime. Hydraulic set. Excellent for foundation walls. Traditional TN temple construction technique.
86,"Gypsum Plaster (POP Finish, 8mm)",FINISHING,Gypsum Plaster,Interior wall smooth finish,sqm,25,40,32.5,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SEMI_SKILLED,8,,,POOR,10_YEARS,20,1,,,,Smooth finish over cement plaster. Not for wet areas. Gyproc/Saint Gobain brands in TN. Cures fast.
87,Exterior Emulsion Paint (Weatherproof),FINISHING,Paint,Exterior wall paint,sqm,18,30,24,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SEMI_SKILLED,,,,GOOD,5_YEARS,5,1,,,,Asian Paints Apex/Berger WeatherCoat. Light colours reflect TN heat. Repaint every 5 years.
88,Interior Emulsion Paint (Premium),FINISHING,Paint,Interior wall and ceiling paint,sqm,12,22,17,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SEMI_SKILLED,,,,AVERAGE,5_YEARS,5,1,,,,Asian Paints Royale/Dulux. Anti-fungal variants recommended for TN humid coastal areas.
89,Lime Wash (Traditional White),FINISHING,Lime Wash,Exterior and interior wall wash,sqm,5,12,8.5,ALL,,GOOD,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",5,1,LOCALLY_SOURCED,VERY_LOW,UNSKILLED,,,,POOR,ANNUAL,1,1,,,,Cheapest wall finish. Breathable and anti-bacterial. Traditional TN village house finish. Reapply annually.
90,Texture Paint (Roller Finish),FINISHING,Paint,Feature wall and exterior accent,sqm,40,70,55,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SKILLED,2,,,GOOD,10_YEARS,8,1,,,,Decorative exterior finish. Hides surface imperfections. Asian Paints Royale Play range available in TN.
91,White Cement Finish (Birla White),FINISHING,Cement Finish,Exterior wall primer,sqm,15,25,20,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SEMI_SKILLED,2,,,AVERAGE,10_YEARS,10,1,,,,Applied before exterior paint. Fills pinholes. Birla White/JK Cement available across TN.
92,M20 Grade Ready-Mix Concrete,STRUCTURAL,Concrete,Foundation and plinth beam,cum,5500,7500,6500,ALL,"Nilgiris,Ramanathapuram",POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,VERY_HIGH,SKILLED,,20,1.58,GOOD,NONE,80,1,1,#808080,\\\\,Standard structural concrete. Use PPC cement. RMC from Ultratech/ACC plants across TN.
93,M25 Grade Ready-Mix Concrete,STRUCTURAL,Concrete,"Column, beam and slab",cum,6000,8000,7000,ALL,"Nilgiris,Ramanathapuram",POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,VERY_HIGH,SKILLED,,25,1.58,GOOD,NONE,80,1,1,#787878,\\\\,For G+2 and above. 7-day curing mandatory in TN heat. Water-cement ratio max 0.45.
94,M30 Grade Ready-Mix Concrete,STRUCTURAL,Concrete,High-rise column and beam,cum,6500,8800,7650,"Chennai,Coimbatore,Madurai,Tiruchirappalli","Nilgiris,Ramanathapuram",POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,VERY_HIGH,SKILLED,,30,1.58,GOOD,NONE,80,1,1,#707070,\\\\,For premium multi-storey. Minimum for columns in seismic zone III (TN). Admixtures essential.
95,TMT Steel Bar Fe500D (Rebar),STRUCTURAL,TMT Steel,RCC reinforcement all elements,kg,65,78,71.5,ALL,,POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,VERY_HIGH,SKILLED,,500,50,POOR,NONE,80,1,1,,,TATA Tiscon/JSW Neosteel. Fe500D for ductility in seismic zones. IS 1786 compliance mandatory.
96,TMT Steel Bar Fe550D (Rebar),STRUCTURAL,TMT Steel,High-strength column reinforcement,kg,68,82,75,ALL,,POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,VERY_HIGH,SKILLED,,550,50,POOR,NONE,80,1,1,,,Higher grade for optimized steel in large structures. Saves 10-15% steel quantity over Fe500.
97,"PPC Cement (Portland Pozzolana, 50kg bag)",STRUCTURAL,Cement,General construction all elements,per_bag,350,420,385,ALL,Nilgiris,POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,HIGH,UNSKILLED,,,,AVERAGE,NONE,80,1,,,,Ultratech/ACC/Dalmia. PPC preferred in TN for flyash content. Better workability in TN heat.
98,OPC 53 Grade Cement (50kg bag),STRUCTURAL,Cement,Structural concrete M25+,per_bag,380,450,415,ALL,Nilgiris,POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,HIGH,UNSKILLED,,,,AVERAGE,NONE,80,1,,,,For high-strength concrete. Faster setting than PPC. Use for columns and beams in multi-storey.
99,M-Sand (Manufactured Sand),STRUCTURAL,Sand,Concrete and mortar aggregate,cum,1200,1800,1500,ALL,,POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",3,0,MANUFACTURED,MEDIUM,UNSKILLED,,,,AVERAGE,NONE,80,1,,,,"TN banned river sand mining. M-sand mandatory. Zone II grade for plastering, Zone III for concrete."
100,River Sand (Permitted Source),STRUCTURAL,Sand,Plastering and flooring bed,cum,3000,5000,4000,"Tiruchirappalli,Thanjavur,Salem,Erode","Chennai,Coimbatore,Madurai",POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,LOCALLY_SOURCED,LOW,UNSKILLED,,,,AVERAGE,NONE,80,1,,,,Cauvery/Kollidam river sand. Highly regulated in TN. Permit required. Premium pricing due to scarcity.
101,Coarse Aggregate 20mm (Blue Metal),STRUCTURAL,Aggregate,Concrete mix aggregate,cum,900,1400,1150,ALL,,POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,UNSKILLED,,,,AVERAGE,NONE,80,1,,,,Granite crushed aggregate from TN quarries. 20mm for general RCC. 12mm for slab concrete.
102,Steel Structural Section (ISMB 200),STRUCTURAL,Structural Steel,Roof truss and portal frame,kg,72,88,80,ALL,,POOR,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,VERY_HIGH,SPECIALIST,,250,50,POOR,NONE,60,1,1,,,For steel roof structures. Hot-dip galvanize for coastal TN. SAIL/Tata brands.
103,"Expanded Polystyrene Sheet (EPS, 50mm)",INSULATION,EPS,Roof and wall insulation,sqm,120,200,160,ALL,,EXCELLENT,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SEMI_SKILLED,50,,0.038,AVERAGE,10_YEARS,30,1,,,,Lightweight roof insulation for TN flat roofs. Place above waterproofing. Fire retardant grade recommended.
104,"Extruded Polystyrene Sheet (XPS, 50mm)",INSULATION,XPS,Terrace and below-grade insulation,sqm,200,350,275,ALL,,EXCELLENT,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SEMI_SKILLED,50,,0.034,EXCELLENT,10_YEARS,40,1,,,,Better moisture resistance than EPS. Ideal for TN's monsoon-exposed terraces. Dow/Owens Corning brands.
105,Polyurethane Foam Spray (PUF),INSULATION,PUF,Roof underside insulation,sqm,250,400,325,ALL,,EXCELLENT,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SPECIALIST,25,,0.024,AVERAGE,10_YEARS,25,1,,,,Spray-applied to roof underside. Excellent for existing TN buildings. Reduces indoor temp by 5-7°C.
106,"Glass Wool Roll (50mm, 16kg/m³)",INSULATION,Glass Wool,False ceiling cavity insulation,sqm,80,140,110,ALL,,EXCELLENT,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SEMI_SKILLED,50,,0.04,AVERAGE,10_YEARS,30,1,,,,For false ceiling cavities. Use with vapour barrier in TN humidity. Saint Gobain ISOVER available.
107,Reflective Aluminium Foil Insulation,INSULATION,Reflective Insulation,Roof underside heat reflector,sqm,30,55,42.5,ALL,,EXCELLENT,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SEMI_SKILLED,4,,0.04,AVERAGE,10_YEARS,15,1,,,,Cost-effective TN solution. Staple to roof underside. Reflects 95% radiant heat. Use with air gap.
108,Cool Roof Coating (Solar Reflective White),INSULATION,Cool Roof,Flat roof heat reflective coating,sqm,45,80,62.5,ALL,,EXCELLENT,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SEMI_SKILLED,1,,,AVERAGE,5_YEARS,5,1,,,,White elastomeric coating. Reduces roof temp by 15-20°C in TN summer. Reapply every 5 years. Dr. Fixit brand.
109,Broken China Mosaic Cool Roof,INSULATION,Cool Roof,Flat roof weathering course,sqm,80,130,105,ALL,,EXCELLENT,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",4,1,LOCALLY_SOURCED,VERY_LOW,SEMI_SKILLED,20,,,AVERAGE,10_YEARS,20,1,,,,Traditional TN terracing technique. White broken tiles on bitumen. Durable and reflective. Common in Chennai.
110,Mud Phuska Roof Insulation,INSULATION,Mud Insulation,Flat roof traditional insulation,sqm,40,70,55,ALL,,EXCELLENT,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",5,1,LOCALLY_SOURCED,VERY_LOW,SPECIALIST,100,,0.52,AVERAGE,10_YEARS,15,1,,,,Mud-lime layer over RCC slab. Traditional TN technique. Add brick tiles on top. Baker recommended.
111,"Bituminous Membrane (APP Modified, 3mm)",WATERPROOFING,Bituminous Membrane,Flat roof waterproofing,sqm,180,300,240,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SKILLED,3,,,EXCELLENT,10_YEARS,15,1,,,,Torch-applied membrane. Essential for all TN flat roofs. SikaProof/Dr. Fixit brands. Overlap joints 100mm.
112,Cementitious Waterproofing Coating (Acrylic),WATERPROOFING,Cementitious Coating,Bathroom and wet area waterproofing,sqm,40,70,55,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SKILLED,2,,,EXCELLENT,10_YEARS,10,1,,,,Brush-applied 2 coats. Essential for TN bathrooms. Dr. Fixit Pidifin/Fosroc. Apply before tiling.
113,Integral Waterproofing Compound (Liquid),WATERPROOFING,Admixture,Concrete mix waterproofing,kg,60,100,80,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SKILLED,,,,EXCELLENT,NONE,50,1,,,,"Add to concrete mix at 0.5% of cement weight. For water tank, sump, and foundation. Dr. Fixit LW+."
114,Crystalline Waterproofing (Xypex Type),WATERPROOFING,Crystalline,Below-grade and water tank waterproofing,sqm,150,250,200,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SPECIALIST,1,,,EXCELLENT,NONE,50,1,,,,Self-healing concrete waterproofing. Premium but permanent. Excellent for TN underground sumps.
115,EPDM Rubber Sheet (1.5mm),WATERPROOFING,EPDM,Terrace garden and planter waterproofing,sqm,250,400,325,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SPECIALIST,1.5,,,EXCELLENT,NONE,25,1,,,,For terrace gardens increasingly popular in Chennai. UV-resistant. Single-piece installation preferred.
116,Liquid Applied Polyurethane Membrane,WATERPROOFING,PU Membrane,Complex geometry roof waterproofing,sqm,200,350,275,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SKILLED,2,,,EXCELLENT,10_YEARS,15,1,,,,Seamless waterproofing for irregular TN roof shapes. Good for parapet junctions. MasterSeal/Sika brands.
117,RCC Isolated Footing (M20),FOUNDATION,RCC Footing,Individual column foundation,cum,6500,8500,7500,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,HIGH,SKILLED,300,20,,GOOD,NONE,80,1,1,#808080,\\\\,Standard for TN frame structures. Depth per soil report. Min 1.0m depth for black cotton soil areas.
118,RCC Raft Foundation (M25),FOUNDATION,RCC Raft,Weak soil full area foundation,cum,7000,9500,8250,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,HIGH,SKILLED,300,25,,GOOD,NONE,80,1,1,#808080,\\\\,For poor soil conditions common in Chennai coastal areas. Uniform settlement. Anti-termite treatment below.
119,Rubble Stone Foundation (Random),FOUNDATION,Stone Foundation,Load-bearing wall foundation,cum,3000,4500,3750,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",4,1,LOCALLY_SOURCED,LOW,SKILLED,450,60,,GOOD,NONE,150,1,1,#8B8680,OO,Traditional TN foundation. Granite rubble in cement mortar 1:6. Width = 2x wall width. Baker recommended.
120,RCC Strip Foundation (M20),FOUNDATION,Strip Foundation,Continuous wall foundation,cum,6000,8000,7000,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,HIGH,SKILLED,200,20,,GOOD,NONE,80,1,1,#808080,\\\\,For load-bearing wall construction. Continuous strip under all walls. PCC bed below.
121,"PCC Foundation Bed (M10, 1:3:6)",FOUNDATION,PCC Bed,Levelling course under foundation,cum,4500,6000,5250,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,HIGH,SKILLED,150,10,,GOOD,NONE,80,1,1,#808080,\\\\,Plain cement concrete bed. 150mm thick minimum. Provides level surface for RCC footing.
122,Anti-Termite Chemical Treatment (Pre-Construction),FOUNDATION,Anti-Termite,Foundation and plinth chemical barrier,sqm,8,15,11.5,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,LOW,SKILLED,,,,GOOD,10_YEARS,10,1,,,,"Chlorpyrifos/Imidacloprid treatment. Essential in all TN districts. Apply at foundation, plinth, and ground contact."
123,CPVC Pipe 1/2 inch (Hot & Cold Water Supply),PLUMBING,CPVC Pipe,Internal water supply line,running_m,45,70,57.5,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SKILLED,,,,EXCELLENT,NONE,25,1,,,,Ashirvad/Supreme brand. Handles TN's hot water temps. Solvent welding—no threading needed.
124,CPVC Pipe 3/4 inch (Main Supply),PLUMBING,CPVC Pipe,Main water supply line,running_m,65,100,82.5,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SKILLED,,,,EXCELLENT,NONE,25,1,,,,For main lines from overhead tank. UV-resistant variant for exposed runs in TN sun.
125,PVC SWR Pipe 110mm (Soil Line),PLUMBING,PVC SWR Pipe,Toilet soil and waste drainage,running_m,120,180,150,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SKILLED,,,,EXCELLENT,NONE,30,1,,,,Type B heavy duty for soil lines. Prince/Finolex brands in TN. IS 13592 compliant.
126,PVC SWR Pipe 75mm (Waste Line),PLUMBING,PVC SWR Pipe,Sink and basin waste drainage,running_m,80,120,100,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SKILLED,,,,EXCELLENT,NONE,30,1,,,,For kitchen and basin waste. Include proper traps to prevent sewer gas in TN's heat.
127,GI Pipe 1 inch (External Water Main),PLUMBING,GI Pipe,Underground and external water main,running_m,150,220,185,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SKILLED,,,,EXCELLENT,NONE,20,1,,,,For external underground runs. Wrap with anti-corrosion tape in TN's corrosive coastal soil.
128,HDPE Pipe 63mm (Underground Supply),PLUMBING,HDPE Pipe,Underground water supply from bore,running_m,100,160,130,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SPECIALIST,,,,EXCELLENT,NONE,50,1,,,,For borewell to sump connection. Flexible—handles TN's clay soil movement. Fusion welding.
129,PVC Rain Water Pipe 90mm,PLUMBING,PVC Pipe,Roof rainwater downpipe,running_m,70,110,90,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",4,0,MANUFACTURED,MEDIUM,SKILLED,,,,EXCELLENT,NONE,20,1,,,,For rainwater harvesting—mandatory in TN since 2001. Connect to recharge well or storage tank.
130,Sintex Overhead Water Tank (1000L),PLUMBING,Water Tank,Roof overhead water storage,per_piece,6000,8500,7250,ALL,,AVERAGE,"Hot_Humid,Hot_Dry,Composite,Warm_Humid",2,0,MANUFACTURED,MEDIUM,SKILLED,,,,EXCELLENT,5_YEARS,25,1,,,,Standard for TN homes. Black tank with UV protection. Size based on family size—135 lpcd per person.
