principle_id,principle_name,category,description,application_condition,plot_area_min_sqm,plot_area_max_sqm,climate_zones,applicable_rooms,wall_thickness_mm,cost_saving_pct,material_saving_pct,thermal_benefit,implementation_detail,nbc_compliant,tncdbr_compliant,tn_districts_applicable,reference_source,drawing_impact
36,Perforated Brick Privacy Screen,VENTILATION,Decorative lattice patterns in load-bearing masonry units creating visual privacy while maintaining cross-ventilation. Integrates structural stability with passive cooling through controlled air circulation and indirect light diffusion in enclosed spaces.,"WHERE plot_area >= 1000 AND climate_zone IN ('Tropical','Humid') AND floors <= 3 AND budget_level IN ('Medium','High') AND soil_type IN ('Sandy','Laterite')",150.1,1593.4,"Hot_Humid, Hot_Dry, Warm_Humid","wash_area, prayer_room, garage, kitchen",300,3.8,11.5,HIGH,Fabricate jali bricks with repeating geometric patterns (5cm perforations). Install as non-load-bearing veneer over cavity walls. Maintain 10cm air gap for thermal insulation. Space units 30cm apart vertically.,1,1,ALL,COSTFORD Field Guide 1994,Elevation drawings show latticed masonry pattern; cross-sections reveal cavity wall depth and air channel; reflected ceiling plans indicate dappled light patterns; material schedule specifies custom jali brick dimensions and perforation geometry.
37,Tamarind Wood Slatted Breezeway,VENTILATION,"Horizontal timber louvers with traditional joinery, oriented perpendicular to prevailing wind direction. Regulates seasonal sun angles while facilitating stack-effect ventilation during hot months. Biodegradable renewable material choice aligns with local ecological context.","WHERE plot_area >= 1500 AND climate_zone = 'Tropical' AND floors IN (1,2) AND budget_level IN ('Medium','High') AND soil_type != 'Clayey'",,1669,Warm_Humid,"terrace, corridor, living_room, pooja_room, courtyard",300,10.9,28.6,NONE,"Use locally-sourced tamarind wood (moisture-resistant). Construct horizontal slats at 15cm spacing, 5cm depth. Attach to timber frame with traditional mortise-tenon joints. Apply lime-based finish. Orient 20° off-axis for wind optimization.",1,1,"Virudhunagar, Nilgiris, Theni, Erode, Dindigul, Thanjavur, Ramanathapuram",COSTFORD Workshop Notes 1988,Plan view shows slatted breezeway layout with wind rose orientation; elevations indicate slot spacing and timber depths; details include joinery specifications; solar analysis diagram overlays seasonal sun paths on facade.
38,Coconut Shell Aggregate Screening Wall,VENTILATION,Composite screening element using coconut shell aggregate bonded in lime mortar matrix. Provides thermal mass for temperature regulation while creating textured semi-transparent surface. Diverts rainwater effectively toward planted borders in courtyard zones.,"WHERE plot_area >= 800 AND climate_zone IN ('Tropical','Humid') AND floors <= 2 AND budget_level = 'Low' AND soil_type IN ('Loamy','Sandy')",91.9,,"Composite, Warm_Humid","balcony, entrance, wash_area, dining",,24.5,2.2,MEDIUM,Mix coconut shell (40% by volume) with lime mortar (1:3 ratio). Cast in wooden forms (20cm depth). Install drainage pipes at base. Cure for 14 days under shade. Surface finish with lime wash.,1,1,"Villupuram, Namakkal, Pudukkottai, Karur, Cuddalore, Ramanathapuram, Ariyalur","Baker 1983, Rural Housing Manual",Elevations show textured surface finish with drainage details; sections reveal composite wall thickness and internal pipe routing; material composition table lists aggregate percentages; landscape plan integrates water catchment zones below wall.
39,Stepped Sandstone Jali Pavilion,VENTILATION,Layered sandstone blocks with graduated aperture sizes creating variable light intensity zones. Thermal flywheel effect moderates diurnal temperature swings. Structural depth provides seating ledges for social gathering spaces oriented toward sunset direction.,"WHERE plot_area >= 2000 AND climate_zone = 'Tropical' AND floors = 1 AND budget_level = 'High' AND soil_type IN ('Rocky','Laterite')",148.6,,"Hot_Dry, Hot_Humid","living_room, staircase, kitchen, bathroom",,7.1,28.5,NONE,Source local sandstone blocks (30cm x 15cm x 20cm). Grade aperture sizes from 2cm (bottom) to 8cm (top). Dry-stack with lime mortar joints. Construct stepped foundation 60cm deep on compacted laterite bed.,0,1,"Tirunelveli, Villupuram, Ramanathapuram",COSTFORD Workshop Notes 1988,Plan shows stepped pavilion footprint with varied aperture zones; elevations detail graduating aperture sizes and material transitions; sections show foundation and thermal mass calculations; detail drawings specify stone coursing patterns and mortar joint widths.
40,Tensioned Coir Fiber Screening Fabric,VENTILATION,"Woven coconut fiber mesh tensioned on timber frame, creating flexible semi-permeable boundary. Moderates wind speed while allowing moisture circulation. Replaceable annually using traditional weaving techniques practiced in Tamil Nadu communities.","WHERE plot_area >= 600 AND climate_zone IN ('Tropical','Coastal') AND floors <= 2 AND budget_level IN ('Low','Medium') AND soil_type IN ('Sandy','Clayey')",82.4,1674.8,"Hot_Dry, Composite, Warm_Humid","wash_area, garage, courtyard, terrace",,9.1,36.7,LOW,Procure hand-woven coir mesh (12mm weave) from local artisans. Tension on treated timber frame (8x8cm posts) using traditional pegs at 30cm intervals. Install 2.5m height minimum. Treat frame with coconut oil annually.,0,1,"Pudukkottai, Karur, Villupuram, Ariyalur, Dindigul",HUDCO Technical Bulletin 1995,Elevations show semi-transparent fabric pattern and frame structure; plans indicate weave orientation relative to dominant winds; detail drawings specify tensioning peg spacing; legend includes coir fiber material properties and replacement schedule.
41,Recycled Tile Fragment Mosaic Screen,VENTILATION,Salvaged ceramic tile fragments assembled into decorative jali pattern using lime mortar base. Celebrates local craft heritage while embodying circular economy principles. Reflective glazed surfaces redirect diffuse light into adjacent interior spaces during monsoon season.,"WHERE plot_area >= 1200 AND climate_zone = 'Humid' AND floors IN (1,2,3) AND budget_level IN ('Low','Medium') AND soil_type IN ('Loamy','Sandy')",55.5,1088.4,Composite,"verandah, bedroom, bathroom",,18.4,32.8,LOW,Collect discarded ceramic tiles from local pottery workshops. Grade by color/glaze quality. Arrange patterns on sand base. Bond with lime mortar (1:2 ratio). Grout joints with natural pigmented mortar. Cure 21 days.,0,1,"Tenkasi, Pudukkottai, Nagapattinam, Sivaganga, Tirunelveli",COSTFORD Workshop Notes 1988,Elevations show mosaic pattern with color variations; enlarged detail views display tile fragment arrangement and joint patterns; material schedule lists tile sources and color palette; reflected light analysis overlays show seasonal illumination effects.
42,Adjustable Wooden Louver Shading System,VENTILATION,Pivotable timber louvers with mechanical adjustability for seasonal sun angle variation. Enables occupant control over thermal gain and glare reduction. Prototype testing demonstrates 35% reduction in cooling load during summer months in Tamil Nadu context.,"WHERE plot_area >= 1000 AND climate_zone = 'Tropical' AND floors IN (2,3) AND budget_level = 'High' AND soil_type NOT IN ('Clayey','Marshy')",,1533.5,"Composite, Hot_Humid, Hot_Dry","prayer_room, dining, bathroom, pooja_room, kitchen",,28.2,17.7,HIGH,"Fabricate movable louvers from teak wood (5cm depth, 20cm width). Mount on stainless steel hinges (75mm) at 60cm vertical intervals. Provide manual adjustment mechanism or solar-tracking automation. Treat with natural oil finish.",1,1,ALL,CBRI Technical Note 1992,Elevations show louver positions at winter/summer solar angles; sections detail hinge mechanisms and adjustment ranges; hardware schedule specifies stainless steel specifications; performance analysis charts show thermal gain reduction at different orientations.
43,Clay Brick Lattice Load-Bearing Wall,VENTILATION,Interlocking clay brick pattern creating structural jali that functions as non-structural aesthetic screen. Maintains load-bearing capacity while reducing material volume. Bonding pattern optimizes seismic resistance in earthquake-prone Tamil Nadu regions.,"WHERE plot_area >= 1500 AND climate_zone IN ('Tropical','Humid') AND floors <= 3 AND budget_level IN ('Medium','High') AND soil_type IN ('Sandy','Laterite')",116.5,1020.9,Composite,"entrance, wash_area, utility, balcony",200,33.1,30.7,LOW,Specify locally-fired clay bricks (23cm x 11cm x 7.5cm). Employ running bond pattern with 50% void ratio. Reinforce horizontal joints with mild steel bars (8mm) at 60cm intervals. Construct cavity (15cm) for utilities.,1,1,"Karur, Sivaganga, Theni, Tiruchirappalli, Perambalur, Cuddalore",COSTFORD Field Guide 1994,Plan views show void pattern at different building levels; elevations display lattice bonding arrangement; sections indicate cavity dimensions and utility routing; structural drawings include reinforcement schedules and load path diagrams.
44,Stone Jali Screen with Planted Creeper,VENTILATION,"Carved limestone jali framework designed for vigorous climbing plant growth, creating living thermal buffer. Reduces wall temperature by 6-8°C through evapotranspiration. Limestone porosity provides root penetration support while maintaining breathable envelope.","WHERE plot_area >= 1800 AND climate_zone IN ('Tropical','Humid') AND floors <= 2 AND budget_level = 'High' AND soil_type IN ('Laterite','Rocky')",50.3,775.6,Warm_Humid,"living_room, kitchen",,31.2,14.5,HIGH,Source limestone blocks (40cm x 20cm x 15cm). Carve jali patterns using traditional methods. Mount on reinforced concrete frame (30cm spacing). Install drip irrigation behind screen. Plant jasmine/bougainvillea at 1.5m intervals.,0,1,ALL,Benny Kuriakose 2003,"Elevations show jali pattern and planting locations; sections indicate soil pocket depths and irrigation line routing; plant schedule specifies species, spacing, and growth projections at 2-year intervals; detail drawings show carving patterns and drainage provisions."
45,Ferrocement Patterned Jali Panel,VENTILATION,Thin-shell ferrocement construction (4cm thickness) with integrated geometric jali pattern. Lightweight alternative reducing structural loading on foundation. Pattern size proportioned to control monsoon rain penetration while maintaining visual transparency.,"WHERE plot_area >= 900 AND climate_zone = 'Humid' AND floors <= 3 AND budget_level IN ('Medium','High') AND soil_type IN ('Clayey','Loamy')",101.1,599.1,Composite,"entrance, garage, wash_area",200,9.9,8.6,MEDIUM,Create plywood mold with jali pattern. Layer wire mesh (6mm grid) and apply cement mortar (1:3) in 3 coats. Cure under damp burlap for 14 days. Strip form. Mount on structural frame with elastomeric bearings.,1,1,ALL,Kerala State Housing Board 1990,Elevations show jali pattern geometry and transparency percentage; sections reveal ferrocement thickness and bearing details; structural drawings include panel dimensions and connection specifications; rain penetration analysis charts show water flow patterns.
46,Bamboo Split Lath Screening Frame,VENTILATION,Rapidly renewable bamboo split into thin laths (8mm width) and assembled in traditional South Indian joinery patterns. Excellent strength-to-weight ratio. Seasonal swelling/shrinking accommodated through traditional sliding joint detailing.,"WHERE plot_area >= 700 AND climate_zone IN ('Tropical','Humid') AND floors IN (1,2) AND budget_level = 'Low' AND soil_type IN ('Sandy','Loamy')",79.8,1763.2,"Warm_Humid, Hot_Humid, Composite","pooja_room, balcony, living_room",230,13,12.8,MEDIUM,Split bamboo culms (age 3-4 years) into uniform laths. Construct frame using traditional mortise-tenon joinery. Space laths 12cm apart horizontally. Apply natural lacquer finish. Design sliding joint details for seasonal movement tolerance.,1,1,"Nilgiris, Krishnagiri, Sivaganga",COSTFORD Workshop Notes 1988,Plans show lath spacing and joinery pattern details; elevations indicate frame proportions and connection points; full-scale joint details show traditional mortise depths and tenon proportions; assembly sequence diagrams guide construction methodology.
47,Porous Stone Block Vapor-Permeable Screen,VENTILATION,"Locally-quarried porous limestone blocks stacked without mortar, creating monolithic jali wall. Capillary movement prevents moisture accumulation. Exceptional breathability reduces interior humidity without mechanical dehumidification in monsoon-prone zones.","WHERE plot_area >= 1600 AND climate_zone = 'Humid' AND floors <= 2 AND budget_level IN ('Medium','High') AND soil_type IN ('Laterite','Rocky')",192.6,1269.2,"Warm_Humid, Hot_Humid, Composite","garage, utility, kitchen, bathroom, wash_area",230,23.1,23.9,LOW,Source porous limestone (compressive strength 15-20 MPa). Stack blocks dry (12mm joint spacing) on lime mortar base bed. Install drainage layer (coconut coir) behind wall. Construct pilaster reinforcement at 3m intervals.,1,1,"Tiruvannamalai, Salem, Tiruchirappalli","Baker 1970, Building Techniques",Sections show joint spacing and dry-stack construction; elevations display block arrangement and pilaster locations; drainage layer detail drawing specifies coir thickness and overlap; moisture analysis diagrams show capillary rise prevention methods.
48,Coursed Rubble with Lime Mortar,STRUCTURAL,"Ashlar-faced rubble masonry using locally-quarried granite blocks set in lime-based mortar. Provides structural stability, thermal mass, and breathable construction suitable for Tamil Nadu's humid climate. Minimizes embodied energy through regional sourcing.","plot_area >= 300 AND climate_zone = 'humid_tropical' AND floors <= 2 AND soil_type IN ('laterite', 'clay_with_gravel')",,448.8,"Hot_Humid, Hot_Dry","wash_area, store_room, balcony, utility",350,23.6,37.9,HIGH,Lay 300-400mm rubble core with 100mm ashlar facing. Apply traditional lime mortar (1:3 ratio) with cow dung additive. Maintain 450mm minimum foundation depth with gravel base layer for drainage.,0,1,ALL,"Baker 1986, COSTFORD Manual",Foundation plans show stepped coursing pattern with 1:1.5 batter angle. Elevation details reveal ashlar face pattern with lime joint profiles. Cross-sections indicate dual-layer construction with mortar joint specifications.
49,Mud-Faced Rubble Basement System,STRUCTURAL,Rubble stone foundation with mud-stabilized facing for low-budget vernacular projects. Integrates traditional earth construction with stone mass for climate resilience. Cost-effective adaptation suitable for rural Tamil Nadu settlements.,"plot_area >= 250 AND climate_zone IN ('semi_arid', 'humid_tropical') AND floors = 1 AND budget_level = 'low' AND soil_type NOT IN ('black_soil_expansive')",89.9,528.7,"Hot_Humid, Hot_Dry, Composite","garage, entrance, dining, corridor, balcony",300,30.9,30.6,HIGH,"Build 350mm rubble core with 80mm stabilized mud-clay facing. Apply earthen plaster with rice husk. Provide 600mm stone soling below foundation. Grade stones by size: base 150mm, core 75-100mm, facing 50-75mm.",1,0,"Kanchipuram, Theni, Karur, Ramanathapuram",BMTPC Guidelines 2001,Foundation sections show rubble core with mud facing profile. Detail drawings include stabilized earth joint specifications. Plan views indicate stone size gradations and drainage layers beneath.
50,Granite Spalls Draining Foundation,STRUCTURAL,"Compacted granite spalls as foundation base with rubble stone mass. Utilizes quarry waste, reducing material cost and environmental impact. Enhanced permeability prevents water stagnation in high water-table zones across Tamil Nadu.",plot_area >= 400 AND climate_zone = 'humid_tropical' AND water_table_depth <= 2.5 AND soil_type = 'clay_with_gravel',,,"Hot_Dry, Hot_Humid, Composite","dining, bedroom, garage, pooja_room",350,14.8,2.2,HIGH,Place 150mm granite spall layer with sand binding. Compact to 90% Proctor density. Layer rubble stone 400mm above spall bed. Install perforated drain pipe at spall interface. Top with sand-gravel filter layer 100mm.,1,1,"Cuddalore, Krishnagiri, Tiruvannamalai, Chennai, Tiruvarur, Ramanathapuram, Dharmapuri","Baker 1986, COSTFORD Manual",Foundation details show layered spall-rubble interface with drainage specification. Cross-sections include perforated pipe placement and filter layer dimensions. Plan views indicate drainage direction and spall compaction zones.
51,Stepped Rubble Stone Plinth,STRUCTURAL,"Terraced rubble foundation adapting to sloped terrain common in Tamil Nadu's Western Ghats foothills. Minimizes excavation waste, reduces cost, and follows site contours. Provides staged structural engagement with variable soil layers.","plot_area >= 500 AND slope_gradient >= 1:6 AND floors <= 2 AND climate_zone = 'humid_tropical' AND soil_type IN ('laterite', 'weathered_rock')",75.2,933.8,Hot_Humid,"kitchen, dining, courtyard, verandah, pooja_room",100,6.1,39.2,MEDIUM,"Step foundation in 1.2m horizontal intervals, matching natural contours. Build rubble core 400mm thick at each level with ashlar facing. Set expansion joints at step transitions. Use lime mortar for all masonry joints.",1,1,"Thanjavur, Cuddalore, Sivaganga, Erode, Pudukkottai, Krishnagiri, Perambalur, Kanchipuram",Laurie Baker Centre 2010,"Site plans show stepped foundation alignment with contours. Longitudinal sections depict staggered plinth levels. Details include step riser dimensions, expansion joint locations, and drainage provisions at each terrace."
52,Recycled Rubble with Brick Facing,STRUCTURAL,Adaptive reuse of demolished rubble aggregate with clay brick veneer for regenerative design. Common in urban Tamil Nadu densification projects. Combines structural rubble mass with durable aesthetic facing. Reduces landfill burden.,"plot_area >= 350 AND climate_zone IN ('humid_tropical', 'semi_arid') AND urban_zone = true AND budget_level IN ('medium', 'low') AND soil_type NOT IN ('black_soil_expansive')",45.4,,"Hot_Dry, Hot_Humid, Composite","corridor, store_room, kitchen, living_room",230,22.9,37.5,MEDIUM,"Compact recycled rubble core 400mm thick. Apply 90mm clay brick facing with lime mortar. Grade recycled stones: <100mm base, 75-150mm core, <50mm facing. Maintain 1:1.75 batter. Install weep holes every 600mm.",1,1,"Tiruchirappalli, Cuddalore, Theni",COSTFORD Workshop Notes 1988,Foundation plans show recycled material zones distinct from virgin stone areas. Elevations detail brick facing pattern and weep hole locations. Sections indicate compaction grades and mortar joint specifications for recycled aggregate.
53,Laterite Block Load-Bearing Base,STRUCTURAL,Quarried laterite blocks forming foundation base with rubble infill core. Leverages abundant local laterite deposits across Tamil Nadu. Provides high thermal mass and moisture regulation. Reduces transportation impact versus imported materials.,"plot_area >= 300 AND climate_zone = 'humid_tropical' AND floors <= 2 AND laterite_availability = true AND soil_type IN ('laterite', 'clay_with_laterite')",85.7,1466.2,Hot_Dry,"entrance, verandah, balcony, bedroom, bathroom",350,5.6,35.5,LOW,Lay 300mm laterite block perimeter with 400mm rubble stone infill core. Grade laterite blocks 300x300x200mm minimum. Apply lime-laterite mortar (1:4 ratio). Provide 600mm stone soling base. Ensure 100mm gravel drainage layer.,1,0,"Tenkasi, Tirunelveli, Villupuram, Nilgiris, Perambalur, Ramanathapuram",Benny Kuriakose 2003,"Foundation plans delineate laterite block perimeter and rubble core zones. Isometric sections show block coursing pattern. Details include laterite block dimensions, lime mortar joint specifications, and drainage layer arrangement."
54,Reinforced Rubble Stone Pillar,STRUCTURAL,Rubble stone piers reinforced with lime-concrete bands at critical load points. Hybrid system combining traditional masonry with minimal reinforcement. Suitable for multi-story structures requiring enhanced load capacity while maintaining thermal mass benefits.,"plot_area >= 400 AND climate_zone IN ('humid_tropical', 'semi_arid') AND floors = 2 AND soil_bearing_capacity >= 1.5 AND foundation_span >= 4",96.4,1408.3,Hot_Humid,"wash_area, garage, courtyard, pooja_room",350,23.6,22.6,HIGH,"Build 450mm rubble stone piers with 200mm lime-concrete bands (1:3:6) at 1.2m vertical intervals. Use 8mm mild steel rods embedded in lime mortar. Maintain 100mm concrete band thickness. Grade rubble: base 150mm, core 100-125mm.",0,1,ALL,BMTPC Guidelines 2001,"Foundation plans show pillar locations with band reinforcement zones. Vertical sections detail lime-concrete band placement and steel rod embedment. Details include pillar dimensions, band thickness, and steel scheduling."
55,Monsoon-Resilient Stone Plinth,STRUCTURAL,Elevated rubble foundation with extended roof overhang protecting base from direct rain and splashing. Incorporates drainage channels and plinth ventilation in humid Tamil Nadu climate. Prevents moisture accumulation and ensures foundation longevity.,"plot_area >= 350 AND climate_zone = 'humid_tropical' AND annual_rainfall >= 1500 AND soil_type IN ('clay', 'clay_with_gravel') AND distance_to_water_body < 5",,,Composite,"living_room, pooja_room, corridor, entrance",230,12.7,18,LOW,Raise plinth 600mm above ground with 500mm rubble stone height. Install 100mm diameter weep holes every 750mm. Provide 400mm eaves overhang minimum. Create 150mm wide drainage channel with 1:50 slope around perimeter.,1,1,"Salem, Nilgiris, Thoothukudi, Villupuram, Erode, Madurai",Kerala State Housing Board 1990,"Elevations show raised plinth proportion with overhang protection. Section details include plinth height, weep hole spacing, drainage channel slope. Plans indicate water discharge direction and perimeter drain path."
56,Composite Rubble with Lime Stabilization,STRUCTURAL,Blended rubble aggregate stabilized with lime cement (not Portland cement) for improved durability and reduced environmental impact. Addresses regional concerns about workability while maintaining breathability. Reduces carbon footprint by 40% versus conventional mortar.,"plot_area >= 350 AND climate_zone IN ('humid_tropical', 'semi_arid') AND floors <= 2 AND budget_level IN ('medium', 'high') AND sustainability_preference = true",,,Warm_Humid,"wash_area, courtyard, bathroom, corridor, store_room",300,15.4,3.5,HIGH,Mix lime and ground brick powder (1:2:4 aggregate ratio). Set rubble stones 400mm core with 100mm stabilized facing. Cure for 14 days minimum before superstructure loading. Apply hydrated lime finish post-curing. Test compressive strength >= 3.5 N/mm².,1,1,ALL,COSTFORD Workshop Notes 1988,Foundation details specify lime-stabilized mortar composition. Specifications include curing timelines and strength testing requirements. Sections show stabilized mortar joint profiles and surface treatment protocol.
57,Vernacular Rubble Cellular Foundation,STRUCTURAL,Traditional cellular rubble pattern using larger stones placed with void spaces filled systematically. Mimics historic Tamil Nadu temple foundations. Reduces material volume by 25% while maintaining adequate bearing capacity through intelligent stone sizing.,"plot_area >= 400 AND climate_zone IN ('semi_arid', 'humid_tropical') AND historical_context = true AND soil_bearing_capacity >= 1.25 AND floors <= 2",,1184.7,"Hot_Dry, Composite, Hot_Humid","terrace, balcony, courtyard, bathroom, living_room",200,7.7,7.6,LOW,"Select mixed rubble sizes: 200-300mm perimeter stones, 100-150mm core, 50-75mm filler. Arrange with geometric precision maintaining voids <30mm. Fill voids with lime mortar (1:3 ratio). Build to 500mm height with horizontal leveling every 300mm.",1,1,"Kanchipuram, Ariyalur, Dindigul","Baker 1970, Building Techniques","Foundation plans show cellular pattern diagrams with stone size allocation. 3D isometric views illustrate traditional cellular arrangement. Details include stone sizing hierarchy, void spacing, and mortar filling sequence specifications."
58,Lime-Stabilized Earth Joint System,WALL_CONSTRUCTION,"Hybrid pointing system combining hydrated lime with locally-sourced earth binders, achieving superior breathability and moisture regulation in masonry joints while reducing Portland cement dependency for coastal Tamil Nadu conditions.","WHERE plot_area >= 500 AND climate_zone IN ('tropical_humid', 'coastal') AND floors <= 3 AND soil_type IN ('laterite', 'alluvial') AND budget_level >= 'medium'",56,,"Hot_Dry, Warm_Humid","terrace, bedroom, corridor",230,16.1,33,LOW,Mix lime putty with crushed laterite stone dust in 1:3 ratio. Apply 15mm pointing depth using traditional jointing tools. Cure for 6-8 weeks with water spray misting every 3 days.,0,1,ALL,Auroville Earth Institute 2005,Joint specifications require detailed material composition callouts; cross-sections show 15-20mm depth tolerances; legend distinguishes from conventional pointing; mortar strength notes added to construction schedules.
59,Mud Composite Mortar With Fiber Reinforcement,WALL_CONSTRUCTION,"Earth-based mortar incorporating rice straw and coconut coir fibers with lime binder, providing crack control and improved tensile strength in laterite or burnt brick masonry typical of rural Tamil Nadu dwellings.","WHERE plot_area BETWEEN 300 AND 2000 AND climate_zone = 'tropical_dry' AND floors IN (1, 2) AND soil_type IN ('laterite', 'black_soil') AND budget_level IN ('low', 'medium')",45.9,,"Warm_Humid, Composite","staircase, dining, garage",350,3.1,39.6,LOW,"Soak rice straw 24 hours, mix with mud mortar base (clay:sand 1:2), add 1% coir fiber by volume, hydrated lime 10-15% by weight. Apply 12-18mm joints, cure naturally over 4-6 weeks.",1,1,"Sivaganga, Madurai, Karur, Nilgiris, Tenkasi, Tiruvarur, Dindigul, Namakkal",Laurie Baker Centre 2010,Fiber reinforcement shown as hatch patterns in mortar joints; detail drawings specify straw orientation; mortar color variations documented; maintenance schedules note curing phases.
60,Breathable Lime Mortar For Expansion Control,WALL_CONSTRUCTION,Pure lime-based pointing system with high permeability coefficient (>100 mg/m²h) designed to accommodate thermal and moisture expansion cycles in thick-walled Tamil Nadu vernacular masonry with high thermal mass.,"WHERE (plot_area >= 400 OR climate_zone = 'tropical_humid') AND floors <= 2 AND soil_type IN ('laterite', 'granite_based') AND budget_level >= 'medium' AND structure_age > 10",98.4,1790.4,Hot_Dry,"utility, kitchen",350,34.2,35.2,NONE,Natural hydraulic lime (NHL 3.5) mixed with well-graded sand in 1:2.5 ratio. Pointing depth 18-20mm. Apply in thin coats with 2-3 week intervals between layers. Final cure 8-12 weeks.,1,1,ALL,CBRI Technical Note 1992,Permeability values included in material specifications; cross-sections show multi-layer application sequence; color tone samples referenced; expansion joint patterns modified to work with breathable matrix.
61,Carbonated Earth Joint With Lime Crust,WALL_CONSTRUCTION,"Pointing system where earth mortar gradually carbonates through lime content, forming protective calcium carbonate crust. Combines material sustainability with self-healing properties suitable for monsoon-exposed Tamil Nadu masonry.","WHERE climate_zone IN ('coastal', 'tropical_humid') AND plot_area >= 350 AND floors <= 3 AND soil_type IN ('alluvial', 'laterite') AND rainfall_zone = 'high' AND budget_level >= 'low'",,1860.3,Hot_Humid,"verandah, dining, courtyard",100,24.4,2.4,MEDIUM,Mix red earth with 8-12% hydrated lime and fine sand (1:2:2 proportions). Apply 15mm pointing. Expose to humid air during curing (avoid rain for first 2 weeks). Self-curing occurs over 6-8 months.,1,1,ALL,Auroville Earth Institute 2005,Carbonation process timeline added to project schedules; before-after surface finish details shown; crust color variations documented; long-term performance notes included in specifications.
62,Thermal Mass Lime Mortar Joints,WALL_CONSTRUCTION,"Low-conductivity mortar system optimized for passive thermal regulation in thick laterite or adobe walls, leveraging lime's low thermal diffusivity and combining earth aggregates to maintain cooler interior spaces in hot-dry Tamil Nadu zones.","WHERE climate_zone = 'tropical_dry' AND plot_area >= 500 AND floors IN (1, 2, 3) AND soil_type = 'laterite' AND orientation IN ('east_west_exposed') AND budget_level >= 'medium'",,,Warm_Humid,"balcony, prayer_room, store_room, staircase, living_room",100,6.5,20.3,HIGH,Blend hydrated lime (15% by weight) with local earth-sand mix containing low-density aggregates like volcanic ash when available. Joint thickness 16-20mm. Cure slowly (10+ weeks) to develop maximum thermal stability.,1,1,"Perambalur, Villupuram, Erode, Tirunelveli, Virudhunagar, Chennai, Tiruvannamalai, Tiruchirappalli",HUDCO Technical Bulletin 1995,Thermal transmittance values (U-values) calculated for joint systems in energy schedules; wall assembly sections emphasize mortar contribution to thermal mass; color coding distinguishes thermal zones.
63,Self-Healing Lime Polymer Earth Mortar,WALL_CONSTRUCTION,"Innovative pointing combining lime, earth, and bio-based polymers from local materials like cashew nut shell oil, enabling autonomous healing of micro-cracks and extending service life in harsh monsoonal Tamil Nadu coastal environments.",WHERE climate_zone = 'coastal' AND plot_area >= 600 AND floors <= 3 AND soil_type = 'alluvial' AND budget_level >= 'high' AND structure_exposure = 'high_moisture',,,"Warm_Humid, Hot_Dry, Hot_Humid","balcony, garage",200,8.4,31.6,HIGH,Incorporate 3-5% natural rubber latex or cashew-derived binder into lime-earth mortar (1:2:1 lime:earth:sand). Apply 18mm pointing depth. Cure over 10-12 weeks under controlled humidity (60-70% RH).,1,1,ALL,Benny Kuriakose 2003,Self-healing capability documented in warranty schedules; microscopic crack propagation paths shown in detail drawings; material certifications and test results referenced; maintenance intervals extended in specifications.
64,Vernacular Stone Joint Lime Consolidation,WALL_CONSTRUCTION,"Specialized pointing for traditional stone masonry using hydrated lime binder with crushed stone waste from local quarries, preserving authentic appearance while improving durability in historic Tamil Nadu village and temple structures.","WHERE soil_type = 'granite_based' AND plot_area >= 300 AND climate_zone IN ('tropical_dry', 'tropical_humid') AND structure_type IN ('heritage', 'traditional') AND floors <= 2 AND budget_level IN ('medium', 'high')",141.3,669.4,"Composite, Hot_Dry","prayer_room, bedroom, garage",350,17.9,34.8,NONE,"Match pointing color using local stone dust (crush stone waste from nearby quarries). Hydrated lime with stone powder in 1:3 ratio, 15-18mm depth. Hand-tool finish to match historic joint profiles. 8-10 week cure.",1,1,ALL,COSTFORD Workshop Notes 1988,Historic matching requirements noted; stone color sample swatches attached; traditional joint profiles drawn to scale; heritage preservation notes added; mock-up documentation required before full implementation.
65,Monsoon-Resilient Permeable Lime Joint,WALL_CONSTRUCTION,"High-permeability lime mortar formulation engineered for rapid water shedding and vapor transmission, preventing salt efflorescence and rising damp in continuously moisture-exposed Tamil Nadu monsoon-zone masonry walls.","WHERE rainfall_zone = 'very_high' AND climate_zone = 'tropical_humid' AND plot_area >= 400 AND floors <= 3 AND soil_type IN ('alluvial', 'black_soil') AND water_table_depth <= 1 AND budget_level >= 'medium'",136.6,897.3,"Warm_Humid, Hot_Dry, Hot_Humid","entrance, bedroom, verandah, store_room, dining",350,17.8,33.3,LOW,"Formulate with NHL 2 or 3.5 lime, sharp sand with permeability >1500 mm/h, and 5-8% air-entraining agent. Joint depth 16-19mm with deliberately porous texture (no trowel burnishing). Cure over 10+ weeks.",1,1,"Perambalur, Coimbatore, Tiruvarur, Thanjavur, Virudhunagar, Dharmapuri, Tirunelveli, Madurai",Kerala State Housing Board 1990,Water permeability rates shown in technical schedules; drainage plane details emphasized; efflorescence prevention details added; damp-proof course coordination modified; maintenance access shown for salt removal.
