record_id,district,climate_zone,avg_temp_summer_c,avg_temp_winter_c,avg_temp_annual_c,max_temp_c,min_temp_c,annual_rainfall_mm,monsoon_months,relative_humidity_summer_pct,relative_humidity_winter_pct,prevailing_wind_direction,prevailing_wind_speed_kmh,solar_radiation_kwh_m2_day,latitude_degrees,longitude_degrees,ecbc_climate_zone,optimal_plot_facing,window_north_score,window_south_score,window_east_score,window_west_score,recommended_overhang_depth_m,wall_thickness_recommendation_mm,roof_type_recommendation,cross_ventilation_priority,courtyard_benefit,passive_strategy_1,passive_strategy_2,passive_strategy_3,window_to_wall_ratio_recommended,floor_plan_orientation_rule,imd_reference
46,Dindigul,Composite,33.4,23.7,28.6,39.9,16.4,830,"Sep,Oct,Nov",58.6,51.3,SW,7.4,5.53,10.3548,77.9722,Composite,N,0.78,0.77,0.63,0.39,0.76,230,Insulated RCC slab with Mangalore tile over-roof,HIGH,MEDIUM,Adjustable shading devices for seasonal sun angle variation,Moderate thermal mass walls (230mm) with exterior insulation,Operable windows sized for monsoon ventilation and winter warmth,0.27,Orient long axis E-W; bedrooms on N for cool summers with operable S windows for winter sun; kitchen on SE; living room centrally placed with openable walls N and S for seasonal cross-ventilation,Dindigul
47,Dindigul,Composite,33.8,24,28.5,40.4,16.8,969,"Sep,Oct,Nov",56.1,50.8,NE,7.7,5.69,10.3668,77.9572,Composite,NE,0.81,0.75,0.68,0.31,0.66,250,Filler slab with clay tile secondary roof,MEDIUM,MEDIUM,"Transitional buffer spaces (sit-out, verandah) on S and W",Combination roof: insulated RCC slab with clay tile over-roof,Deciduous vine pergola on W facade for seasonal shading,0.23,"E-W oriented plan with adjustable facades; bedrooms NE for summer breeze, with S-facing clerestory for winter warmth; kitchen SE; central courtyard usable in transitional months; W wall shaded by pergola",Dindigul
48,Dindigul,Composite,33.4,23.7,28.4,39.9,16.3,824,"Sep,Oct,Nov",57.2,51.8,NW,9.2,5.35,10.3605,77.9969,Composite,NW,0.83,0.77,0.67,0.39,0.66,300,RCC slab with reflective paint and planted terrace,HIGH,MEDIUM,Thermal chimney integrated into building core for passive stack ventilation,Cavity wall with ventilated air gap for summer and insulation for winter,Rainwater harvesting integrated into courtyard drainage design,0.26,Long axis E-W; sleeping on N side with high-level ventilators for summer and sealed shutters for winter; living on S for winter solar gain; kitchen SE with dedicated flue; utility rooms buffer W facade,Dindigul
49,Dindigul,Composite,34.3,24.4,29.7,41.2,17.3,891,"Sep,Oct,Nov",56,50.1,S,7.2,5.65,10.3664,77.9789,Composite,N-NE,0.82,0.78,0.67,0.4,0.68,230,Sloped RCC with ventilated ridge and tile cladding,MEDIUM,MEDIUM,Split-level floor plan to facilitate multi-zone natural ventilation,Insulated roof with reflective paint for summer and thermal mass for winter,External movable bamboo screens for seasonal daylight and glare control,0.28,"E-W elongated plan; bedroom zone on N with dual-mode windows (mesh for summer, glass for winter); living on S-SW for afternoon winter warmth; kitchen on E; transitional verandah on S for seasonal use",Dindigul
50,Dindigul,Composite,34,24.1,29.1,40.8,17,820,"Sep,Oct,Nov",57.5,51.2,NE,8.1,5.65,10.3477,77.9771,Composite,N-NW,0.88,0.75,0.69,0.37,0.74,250,Concrete slab with foam insulation and weatherproof membrane,HIGH,MEDIUM,Phase-change material integrated into ceiling plaster for thermal buffering,Double-glazed windows on W and S with operable outer layer,Stepped building form to maximize self-shading between volumes,0.27,Orient E-W; N-facing bedrooms with monsoon-grade operable windows; S-side living for winter passive heating; kitchen in SE with cross-draft ventilation; service rooms on W as heat buffer; courtyard on N-NE,Dindigul
51,Kancheepuram,Hot_Humid,34,25,29.3,42.5,18.5,1250,"Oct,Nov,Dec",71.7,65.6,SW,11.2,5.34,12.8298,79.7006,Warm-Humid,N,0.91,0.74,0.61,0.34,0.78,200,Mangalore tile over ventilated RCC slab,CRITICAL,MEDIUM,Maximize cross-ventilation with large openings on windward walls,Elevated plinth with ventilated crawl space to reduce ground moisture,Reflective cool roof coating with radiant barrier,0.26,Orient long axis E-W; place bedrooms on N side for cool breeze; locate kitchen in SE corner with exhaust vent; living room facing NE for morning light and ventilation,Kancheepuram
52,Kancheepuram,Hot_Humid,34.4,25.3,29.7,43.1,18.9,1242,"Oct,Nov,Dec",72.4,67.5,SE,11.4,5.32,12.8457,79.7033,Warm-Humid,NE,0.89,0.76,0.6,0.42,0.79,230,Sloped metal roof with radiant barrier and air gap,CRITICAL,LOW,Double-height living spaces for stack-effect ventilation,Deep verandah on S and W facades for rain and sun protection,Permeable compound wall to allow breeze penetration,0.31,"Orient long axis E-W; bedrooms on N with operable windows; wet areas (kitchen, bath) on S side with stack ventilation; open-plan living area connecting N and S for cross-ventilation",Kancheepuram
53,Kancheepuram,Hot_Humid,34.4,25.3,29.9,43.1,19,1104,"Oct,Nov,Dec",72,64.3,S,12.3,5.31,12.8189,79.6892,Warm-Humid,NW,0.94,0.66,0.63,0.34,0.88,250,Filler slab with clay tile overlay,HIGH,MEDIUM,Louvered ventilation panels above windows for continuous airflow,Lightweight insulated roof with ventilated air gap,Landscape buffer with deciduous trees on W side for shade,0.27,E-W elongated plan; master bedroom NE corner for sea breeze; service rooms buffering W wall; staircase on S as thermal buffer; balcony on N for outdoor sleeping,Kancheepuram
54,Kancheepuram,Hot_Humid,33.7,24.8,29.6,42,18.1,1259,"Oct,Nov,Dec",72.9,66.9,N,12.8,5.11,12.8506,79.7222,Warm-Humid,N-NE,0.91,0.78,0.55,0.41,0.81,200,Pitched concrete roof with reflective cool coating,CRITICAL,LOW,Wind-catcher tower integrated into stairwell for passive ventilation,Extended eaves (900mm+) on all sides for rain protection,Light-colored lime-wash exterior walls to reduce solar heat gain,0.27,Long axis E-W; sleeping zones on N-NE for prevailing wind; kitchen on SE with dedicated exhaust shaft; living spaces open to N courtyard; service core acts as thermal barrier on W,Kancheepuram
55,Kancheepuram,Hot_Humid,34.1,25.1,29.6,42.7,18.6,1299,"Oct,Nov,Dec",72.9,67.9,W,12.3,5.04,12.8245,79.6911,Warm-Humid,N-NW,0.98,0.71,0.6,0.43,0.98,230,RCC slab with secondary sloped tile roof and ventilated gap,HIGH,MEDIUM,Jaali screen walls for filtered ventilation and privacy,Green roof with drought-resistant species for insulation,Operable clerestory windows for night-flush ventilation,0.28,Orient E-W; bedrooms clustered on N for maximum ventilation; kitchen isolated on SE corner with high-level exhaust; W-facing wall minimized or buffered by storage and utility rooms,Kancheepuram
56,Cuddalore,Hot_Humid,34.1,25.4,29.4,41.9,18.9,1284,"Oct,Nov,Dec",74.5,71.2,NE,12.8,5.14,11.7472,79.7622,Warm-Humid,N,0.91,0.67,0.55,0.37,1.02,200,Mangalore tile over ventilated RCC slab,CRITICAL,MEDIUM,Maximize cross-ventilation with large openings on windward walls,Elevated plinth with ventilated crawl space to reduce ground moisture,Reflective cool roof coating with radiant barrier,0.34,Orient long axis E-W; place bedrooms on N side for cool breeze; locate kitchen in SE corner with exhaust vent; living room facing NE for morning light and ventilation,Cuddalore
57,Cuddalore,Hot_Humid,33.8,25.2,29.4,41.4,18.6,1419,"Oct,Nov,Dec",75.4,70.4,W,11.4,5.03,11.7285,79.788,Warm-Humid,NE,0.93,0.61,0.64,0.33,0.8,230,Sloped metal roof with radiant barrier and air gap,CRITICAL,LOW,Double-height living spaces for stack-effect ventilation,Deep verandah on S and W facades for rain and sun protection,Permeable compound wall to allow breeze penetration,0.31,"Orient long axis E-W; bedrooms on N with operable windows; wet areas (kitchen, bath) on S side with stack ventilation; open-plan living area connecting N and S for cross-ventilation",Cuddalore
58,Cuddalore,Hot_Humid,33.8,25.2,29.9,41.3,18.5,1301,"Oct,Nov,Dec",74.2,70.7,NE,12.5,4.9,11.7546,79.7763,Warm-Humid,NW,0.94,0.72,0.61,0.43,0.88,250,Filler slab with clay tile overlay,HIGH,MEDIUM,Louvered ventilation panels above windows for continuous airflow,Lightweight insulated roof with ventilated air gap,Landscape buffer with deciduous trees on W side for shade,0.29,E-W elongated plan; master bedroom NE corner for sea breeze; service rooms buffering W wall; staircase on S as thermal buffer; balcony on N for outdoor sleeping,Cuddalore
59,Cuddalore,Hot_Humid,34.5,25.7,30.4,42.5,19.4,1379,"Oct,Nov,Dec",75.7,70.6,NW,11,5.08,11.7475,79.7803,Warm-Humid,N-NE,1,0.69,0.61,0.3,0.76,200,Pitched concrete roof with reflective cool coating,CRITICAL,LOW,Wind-catcher tower integrated into stairwell for passive ventilation,Extended eaves (900mm+) on all sides for rain protection,Light-colored lime-wash exterior walls to reduce solar heat gain,0.28,Long axis E-W; sleeping zones on N-NE for prevailing wind; kitchen on SE with dedicated exhaust shaft; living spaces open to N courtyard; service core acts as thermal barrier on W,Cuddalore
60,Cuddalore,Hot_Humid,34.1,25.4,30.2,41.8,18.9,1275,"Oct,Nov,Dec",74.4,69.3,E,12.2,5.24,11.7584,79.7793,Warm-Humid,N-NW,0.88,0.79,0.56,0.32,0.98,230,RCC slab with secondary sloped tile roof and ventilated gap,HIGH,MEDIUM,Jaali screen walls for filtered ventilation and privacy,Green roof with drought-resistant species for insulation,Operable clerestory windows for night-flush ventilation,0.27,Orient E-W; bedrooms clustered on N for maximum ventilation; kitchen isolated on SE corner with high-level exhaust; W-facing wall minimized or buffered by storage and utility rooms,Cuddalore
61,Villupuram,Composite,34.5,24.5,29.9,42.5,17.5,1059,"Oct,Nov,Dec",66.6,61.4,NE,10.6,5.48,11.9643,79.4838,Composite,N,0.83,0.84,0.66,0.3,0.72,230,Insulated RCC slab with Mangalore tile over-roof,HIGH,MEDIUM,Adjustable shading devices for seasonal sun angle variation,Moderate thermal mass walls (230mm) with exterior insulation,Operable windows sized for monsoon ventilation and winter warmth,0.26,Orient long axis E-W; bedrooms on N for cool summers with operable S windows for winter sun; kitchen on SE; living room centrally placed with openable walls N and S for seasonal cross-ventilation,Villupuram
62,Villupuram,Composite,35,24.9,30.4,43.3,18.1,1088,"Oct,Nov,Dec",67.7,60.4,E,10.9,5.21,11.9514,79.4983,Composite,NE,0.82,0.74,0.64,0.36,0.8,250,Filler slab with clay tile secondary roof,MEDIUM,MEDIUM,"Transitional buffer spaces (sit-out, verandah) on S and W",Combination roof: insulated RCC slab with clay tile over-roof,Deciduous vine pergola on W facade for seasonal shading,0.29,"E-W oriented plan with adjustable facades; bedrooms NE for summer breeze, with S-facing clerestory for winter warmth; kitchen SE; central courtyard usable in transitional months; W wall shaded by pergola",Villupuram
63,Villupuram,Composite,34,24.1,29.1,41.8,16.9,1166,"Oct,Nov,Dec",68.4,58,N,9,5.17,11.9573,79.4946,Composite,NW,0.86,0.73,0.61,0.36,0.71,300,RCC slab with reflective paint and planted terrace,HIGH,MEDIUM,Thermal chimney integrated into building core for passive stack ventilation,Cavity wall with ventilated air gap for summer and insulation for winter,Rainwater harvesting integrated into courtyard drainage design,0.23,Long axis E-W; sleeping on N side with high-level ventilators for summer and sealed shutters for winter; living on S for winter solar gain; kitchen SE with dedicated flue; utility rooms buffer W facade,Villupuram
64,Villupuram,Composite,34.2,24.3,29.5,42.1,17.2,1200,"Oct,Nov,Dec",67.3,60.1,W,9.6,5.46,11.9208,79.5083,Composite,N-NE,0.8,0.84,0.57,0.41,0.82,230,Sloped RCC with ventilated ridge and tile cladding,MEDIUM,MEDIUM,Split-level floor plan to facilitate multi-zone natural ventilation,Insulated roof with reflective paint for summer and thermal mass for winter,External movable bamboo screens for seasonal daylight and glare control,0.25,"E-W elongated plan; bedroom zone on N with dual-mode windows (mesh for summer, glass for winter); living on S-SW for afternoon winter warmth; kitchen on E; transitional verandah on S for seasonal use",Villupuram
65,Villupuram,Composite,34.2,24.3,29.1,42.1,17.2,1084,"Oct,Nov,Dec",69,59.4,NW,8.2,5.4,11.9395,79.473,Composite,N-NW,0.82,0.83,0.7,0.34,0.72,250,Concrete slab with foam insulation and weatherproof membrane,HIGH,MEDIUM,Phase-change material integrated into ceiling plaster for thermal buffering,Double-glazed windows on W and S with operable outer layer,Stepped building form to maximize self-shading between volumes,0.26,Orient E-W; N-facing bedrooms with monsoon-grade operable windows; S-side living for winter passive heating; kitchen in SE with cross-draft ventilation; service rooms on W as heat buffer; courtyard on N-NE,Villupuram
66,Nagapattinam,Hot_Humid,33,25.1,29.5,40.2,19.4,1483,"Oct,Nov,Dec",76.1,73.6,NE,14.2,5.1,10.7529,79.8556,Warm-Humid,N,0.89,0.68,0.67,0.44,0.82,200,Mangalore tile over ventilated RCC slab,CRITICAL,MEDIUM,Maximize cross-ventilation with large openings on windward walls,Elevated plinth with ventilated crawl space to reduce ground moisture,Reflective cool roof coating with radiant barrier,0.33,Orient long axis E-W; place bedrooms on N side for cool breeze; locate kitchen in SE corner with exhaust vent; living room facing NE for morning light and ventilation,Nagapattinam
67,Nagapattinam,Hot_Humid,33.4,25.4,29.6,40.8,19.8,1413,"Oct,Nov,Dec",78.5,73.4,S,11.7,4.97,10.7515,79.834,Warm-Humid,NE,0.93,0.6,0.64,0.37,0.95,230,Sloped metal roof with radiant barrier and air gap,CRITICAL,LOW,Double-height living spaces for stack-effect ventilation,Deep verandah on S and W facades for rain and sun protection,Permeable compound wall to allow breeze penetration,0.29,"Orient long axis E-W; bedrooms on N with operable windows; wet areas (kitchen, bath) on S side with stack ventilation; open-plan living area connecting N and S for cross-ventilation",Nagapattinam
68,Nagapattinam,Hot_Humid,33.9,25.8,29.9,41.7,20.5,1455,"Oct,Nov,Dec",77.7,73.6,S,12.3,4.97,10.7937,79.8636,Warm-Humid,NW,0.94,0.78,0.62,0.31,0.78,250,Filler slab with clay tile overlay,HIGH,MEDIUM,Louvered ventilation panels above windows for continuous airflow,Lightweight insulated roof with ventilated air gap,Landscape buffer with deciduous trees on W side for shade,0.29,E-W elongated plan; master bedroom NE corner for sea breeze; service rooms buffering W wall; staircase on S as thermal buffer; balcony on N for outdoor sleeping,Nagapattinam
69,Nagapattinam,Hot_Humid,33.9,25.9,29.8,41.7,20.5,1561,"Oct,Nov,Dec",76.1,72,NE,13,5.18,10.7624,79.8614,Warm-Humid,N-NE,0.91,0.74,0.6,0.35,0.85,200,Pitched concrete roof with reflective cool coating,CRITICAL,LOW,Wind-catcher tower integrated into stairwell for passive ventilation,Extended eaves (900mm+) on all sides for rain protection,Light-colored lime-wash exterior walls to reduce solar heat gain,0.28,Long axis E-W; sleeping zones on N-NE for prevailing wind; kitchen on SE with dedicated exhaust shaft; living spaces open to N courtyard; service core acts as thermal barrier on W,Nagapattinam
70,Nagapattinam,Hot_Humid,33.3,25.3,29.7,40.7,19.7,1435,"Oct,Nov,Dec",77.9,72.3,S,12.9,5.06,10.7939,79.8436,Warm-Humid,N-NW,0.92,0.69,0.6,0.32,0.82,230,RCC slab with secondary sloped tile roof and ventilated gap,HIGH,MEDIUM,Jaali screen walls for filtered ventilation and privacy,Green roof with drought-resistant species for insulation,Operable clerestory windows for night-flush ventilation,0.28,Orient E-W; bedrooms clustered on N for maximum ventilation; kitchen isolated on SE corner with high-level exhaust; W-facing wall minimized or buffered by storage and utility rooms,Nagapattinam
71,Ramanathapuram,Hot_Humid,34.5,26.4,30.7,42.3,21.1,928,"Oct,Nov,Dec",75.7,68.7,NE,14,5.45,9.3468,78.8367,Warm-Humid,N,0.9,0.73,0.66,0.31,0.83,200,Mangalore tile over ventilated RCC slab,CRITICAL,MEDIUM,Maximize cross-ventilation with large openings on windward walls,Elevated plinth with ventilated crawl space to reduce ground moisture,Reflective cool roof coating with radiant barrier,0.28,Orient long axis E-W; place bedrooms on N side for cool breeze; locate kitchen in SE corner with exhaust vent; living room facing NE for morning light and ventilation,Ramanathapuram
72,Ramanathapuram,Hot_Humid,33.8,25.8,30.1,41.1,20.2,841,"Oct,Nov,Dec",76,69.3,NE,15.4,5.33,9.3459,78.8502,Warm-Humid,NE,0.97,0.73,0.64,0.31,0.98,230,Sloped metal roof with radiant barrier and air gap,CRITICAL,LOW,Double-height living spaces for stack-effect ventilation,Deep verandah on S and W facades for rain and sun protection,Permeable compound wall to allow breeze penetration,0.34,"Orient long axis E-W; bedrooms on N with operable windows; wet areas (kitchen, bath) on S side with stack ventilation; open-plan living area connecting N and S for cross-ventilation",Ramanathapuram
73,Ramanathapuram,Hot_Humid,34.3,26.2,29.8,41.9,20.8,836,"Oct,Nov,Dec",74.7,68.2,NE,13.3,5.68,9.3928,78.8532,Warm-Humid,NW,0.93,0.67,0.58,0.36,1,250,Filler slab with clay tile overlay,HIGH,MEDIUM,Louvered ventilation panels above windows for continuous airflow,Lightweight insulated roof with ventilated air gap,Landscape buffer with deciduous trees on W side for shade,0.26,E-W elongated plan; master bedroom NE corner for sea breeze; service rooms buffering W wall; staircase on S as thermal buffer; balcony on N for outdoor sleeping,Ramanathapuram
74,Ramanathapuram,Hot_Humid,34.2,26.1,30.1,41.8,20.7,781,"Oct,Nov,Dec",74.9,68.3,S,14.5,5.37,9.3471,78.8452,Warm-Humid,N-NE,0.87,0.83,0.59,0.4,1.01,200,Pitched concrete roof with reflective cool coating,CRITICAL,LOW,Wind-catcher tower integrated into stairwell for passive ventilation,Extended eaves (900mm+) on all sides for rain protection,Light-colored lime-wash exterior walls to reduce solar heat gain,0.34,Long axis E-W; sleeping zones on N-NE for prevailing wind; kitchen on SE with dedicated exhaust shaft; living spaces open to N courtyard; service core acts as thermal barrier on W,Ramanathapuram
75,Ramanathapuram,Hot_Humid,33.9,25.9,29.7,41.3,20.3,828,"Oct,Nov,Dec",72.4,69.3,N,14.2,5.62,9.3874,78.8493,Warm-Humid,N-NW,0.88,0.7,0.68,0.43,0.91,230,RCC slab with secondary sloped tile roof and ventilated gap,HIGH,MEDIUM,Jaali screen walls for filtered ventilation and privacy,Green roof with drought-resistant species for insulation,Operable clerestory windows for night-flush ventilation,0.34,Orient E-W; bedrooms clustered on N for maximum ventilation; kitchen isolated on SE corner with high-level exhaust; W-facing wall minimized or buffered by storage and utility rooms,Ramanathapuram
76,Sivaganga,Composite,35,25.4,30,42.8,18.6,926,"Sep,Oct,Nov",59.3,53.4,SW,7.9,5.53,10.1363,78.4969,Composite,N,0.84,0.79,0.63,0.36,0.76,230,Insulated RCC slab with Mangalore tile over-roof,HIGH,MEDIUM,Adjustable shading devices for seasonal sun angle variation,Moderate thermal mass walls (230mm) with exterior insulation,Operable windows sized for monsoon ventilation and winter warmth,0.26,Orient long axis E-W; bedrooms on N for cool summers with operable S windows for winter sun; kitchen on SE; living room centrally placed with openable walls N and S for seasonal cross-ventilation,Sivaganga
77,Sivaganga,Composite,34.2,24.8,29.1,41.6,17.7,998,"Sep,Oct,Nov",59.7,54.6,E,9.1,5.66,10.1433,78.4779,Composite,NE,0.83,0.88,0.56,0.43,0.85,250,Filler slab with clay tile secondary roof,MEDIUM,MEDIUM,"Transitional buffer spaces (sit-out, verandah) on S and W",Combination roof: insulated RCC slab with clay tile over-roof,Deciduous vine pergola on W facade for seasonal shading,0.21,"E-W oriented plan with adjustable facades; bedrooms NE for summer breeze, with S-facing clerestory for winter warmth; kitchen SE; central courtyard usable in transitional months; W wall shaded by pergola",Sivaganga
78,Sivaganga,Composite,34.1,24.7,29.5,41.3,17.5,881,"Sep,Oct,Nov",58.9,55.7,SW,9.9,5.5,10.1367,78.4555,Composite,NW,0.86,0.82,0.63,0.31,0.68,300,RCC slab with reflective paint and planted terrace,HIGH,MEDIUM,Thermal chimney integrated into building core for passive stack ventilation,Cavity wall with ventilated air gap for summer and insulation for winter,Rainwater harvesting integrated into courtyard drainage design,0.22,Long axis E-W; sleeping on N side with high-level ventilators for summer and sealed shutters for winter; living on S for winter solar gain; kitchen SE with dedicated flue; utility rooms buffer W facade,Sivaganga
79,Sivaganga,Composite,34.1,24.6,29.3,41.3,17.5,839,"Sep,Oct,Nov",61.5,54.6,SW,7.6,5.47,10.1339,78.4733,Composite,N-NE,0.89,0.8,0.55,0.4,0.62,230,Sloped RCC with ventilated ridge and tile cladding,MEDIUM,MEDIUM,Split-level floor plan to facilitate multi-zone natural ventilation,Insulated roof with reflective paint for summer and thermal mass for winter,External movable bamboo screens for seasonal daylight and glare control,0.25,"E-W elongated plan; bedroom zone on N with dual-mode windows (mesh for summer, glass for winter); living on S-SW for afternoon winter warmth; kitchen on E; transitional verandah on S for seasonal use",Sivaganga
80,Sivaganga,Composite,34.6,25.1,30.3,42.2,18.1,835,"Sep,Oct,Nov",59.4,53.6,E,8.4,5.55,10.1325,78.5028,Composite,N-NW,0.82,0.74,0.69,0.38,0.84,250,Concrete slab with foam insulation and weatherproof membrane,HIGH,MEDIUM,Phase-change material integrated into ceiling plaster for thermal buffering,Double-glazed windows on W and S with operable outer layer,Stepped building form to maximize self-shading between volumes,0.22,Orient E-W; N-facing bedrooms with monsoon-grade operable windows; S-side living for winter passive heating; kitchen in SE with cross-draft ventilation; service rooms on W as heat buffer; courtyard on N-NE,Sivaganga
81,Virudhunagar,Hot_Dry,35.9,25.8,31.1,43.1,18.5,822,"Sep,Oct,Nov",55.9,50.3,SW,8.5,5.85,9.6085,77.9764,Hot-Dry,N,0.99,0.73,0.56,0.3,0.68,300,Thick RCC slab with brick-bat coba and china mosaic,MEDIUM,HIGH,Thick masonry walls (300mm+) for high thermal mass and time-lag cooling,Internal courtyard with water body for evaporative cooling,Small recessed windows with deep reveals to limit solar gain,0.17,Compact square plan around central courtyard; thick W wall with no/minimal openings; bedrooms on N with small high windows; kitchen on E to use morning sun; living opens into shaded courtyard,Virudhunagar
82,Virudhunagar,Hot_Dry,35.3,25.3,30.5,42.1,17.7,693,"Sep,Oct,Nov",53.3,50,N,9,5.65,9.5839,77.9548,Hot-Dry,NE,0.89,0.75,0.66,0.33,0.55,350,Mud-lime terrace roof with terracotta tile insulation,LOW,HIGH,Earth-sheltered or semi-basement rooms for ground-coupled cooling,Mud plaster or lime render on exterior for radiant heat reduction,Double-wall cavity construction for thermal insulation,0.2,Inward-looking plan around water-featured courtyard; bedrooms on N and E sides; W wall buffered by store rooms and staircase; kitchen on SE; underground cellar for peak-heat refuge,Virudhunagar
83,Virudhunagar,Hot_Dry,35.8,25.7,31.2,42.9,18.3,818,"Sep,Oct,Nov",54.3,49.8,SW,7.5,5.79,9.5803,77.9645,Hot-Dry,NW,0.89,0.8,0.58,0.35,0.64,400,Filler slab with mud plaster topping,MEDIUM,HIGH,Evaporative cooling tower (wind-catcher with wet pads),Insulated flat roof with terracotta tile layer for thermal buffer,Underground water tank beneath courtyard for radiant cooling,0.22,Dense cluster plan with shared party walls to reduce exposed surfaces; rooms arranged around internal court; sleeping on N upper floor with terrace; kitchen on ground E side; W wall solid with niches,Virudhunagar
84,Virudhunagar,Hot_Dry,35.5,25.5,30.6,42.5,18,760,"Sep,Oct,Nov",54.6,50.7,S,7.7,5.52,9.5882,77.9463,Hot-Dry,N-NE,0.9,0.71,0.62,0.31,0.75,300,Double-layer flat roof with ventilated cavity,LOW,HIGH,Cluster housing layout with shared shade corridors,High-albedo exterior finishes to reflect 70%+ solar radiation,Jali screens on W facade to filter harsh afternoon sun,0.17,"Compact plan, courtyard centered; living on N opening to court; bedrooms on NE upper level for night cooling; kitchen E ground floor; W and S walls thick with minimal fenestration; basement for summer retreat",Virudhunagar
85,Virudhunagar,Hot_Dry,35.3,25.4,30.4,42.2,17.8,721,"Sep,Oct,Nov",56.9,50.9,NE,8.7,5.62,9.5837,77.9761,Hot-Dry,N-NW,0.97,0.71,0.54,0.32,0.6,350,RCC slab with inverted earthen pot insulation layer,MEDIUM,HIGH,Thick rammed-earth walls with embedded cooling pipes,Roof pond with movable insulation for night sky radiative cooling,Dense tree canopy over outdoor living spaces for micro-climate,0.18,Square courtyard plan; N-facing rooms for habitation; W and S walls double-layered with cavity; kitchen on E side; central court with fountain for evaporative cooling; rooms interconnected through court,Virudhunagar
86,Thoothukudi,Hot_Humid,33.9,26.5,30.5,41.2,21.5,623,"Oct,Nov,Dec",73.8,69.4,SW,14.2,5.49,8.7832,78.1213,Warm-Humid,N,0.91,0.73,0.64,0.36,0.95,200,Mangalore tile over ventilated RCC slab,CRITICAL,MEDIUM,Maximize cross-ventilation with large openings on windward walls,Elevated plinth with ventilated crawl space to reduce ground moisture,Reflective cool roof coating with radiant barrier,0.33,Orient long axis E-W; place bedrooms on N side for cool breeze; locate kitchen in SE corner with exhaust vent; living room facing NE for morning light and ventilation,Thoothukudi
87,Thoothukudi,Hot_Humid,33.4,26.2,30.3,40.4,20.9,736,"Oct,Nov,Dec",71.7,66.6,N,15.2,5.63,8.7365,78.1185,Warm-Humid,NE,0.88,0.71,0.59,0.43,0.76,230,Sloped metal roof with radiant barrier and air gap,CRITICAL,LOW,Double-height living spaces for stack-effect ventilation,Deep verandah on S and W facades for rain and sun protection,Permeable compound wall to allow breeze penetration,0.33,"Orient long axis E-W; bedrooms on N with operable windows; wet areas (kitchen, bath) on S side with stack ventilation; open-plan living area connecting N and S for cross-ventilation",Thoothukudi
88,Thoothukudi,Hot_Humid,33.2,26,29.3,40,20.6,568,"Oct,Nov,Dec",70.8,67.5,SW,14.8,5.51,8.7689,78.1543,Warm-Humid,NW,0.91,0.74,0.56,0.31,0.84,250,Filler slab with clay tile overlay,HIGH,MEDIUM,Louvered ventilation panels above windows for continuous airflow,Lightweight insulated roof with ventilated air gap,Landscape buffer with deciduous trees on W side for shade,0.27,E-W elongated plan; master bedroom NE corner for sea breeze; service rooms buffering W wall; staircase on S as thermal buffer; balcony on N for outdoor sleeping,Thoothukudi
89,Thoothukudi,Hot_Humid,33.6,26.3,30.4,40.7,21.1,711,"Oct,Nov,Dec",73.4,67.7,SE,15.2,5.73,8.7648,78.1087,Warm-Humid,N-NE,0.87,0.76,0.57,0.32,0.97,200,Pitched concrete roof with reflective cool coating,CRITICAL,LOW,Wind-catcher tower integrated into stairwell for passive ventilation,Extended eaves (900mm+) on all sides for rain protection,Light-colored lime-wash exterior walls to reduce solar heat gain,0.35,Long axis E-W; sleeping zones on N-NE for prevailing wind; kitchen on SE with dedicated exhaust shaft; living spaces open to N courtyard; service core acts as thermal barrier on W,Thoothukudi
90,Thoothukudi,Hot_Humid,33.5,26.2,30.1,40.6,21,631,"Oct,Nov,Dec",70.8,67.6,N,15.7,5.65,8.7383,78.1072,Warm-Humid,N-NW,0.98,0.74,0.68,0.31,0.99,230,RCC slab with secondary sloped tile roof and ventilated gap,HIGH,MEDIUM,Jaali screen walls for filtered ventilation and privacy,Green roof with drought-resistant species for insulation,Operable clerestory windows for night-flush ventilation,0.28,Orient E-W; bedrooms clustered on N for maximum ventilation; kitchen isolated on SE corner with high-level exhaust; W-facing wall minimized or buffered by storage and utility rooms,Thoothukudi
91,Kanyakumari,Warm_Humid,30.6,25.4,28.5,36.8,20,1645,"Jun,Jul,Oct,Nov",76.3,72.2,SW,13.8,4.96,8.1039,77.5609,Warm-Humid,N,0.94,0.73,0.66,0.3,0.87,200,Mangalore tile pitched roof with open ridge ventilation,CRITICAL,MEDIUM,Large operable windows on N and S for prevailing breeze capture,Lightweight well-insulated roof to reduce radiant heat gain,Stilted or raised floor construction for under-floor ventilation,0.3,Orient long axis E-W; bedrooms on N facing prevailing wind with full-height windows; kitchen on SE with roof ventilator; living space open-plan on NE; verandah wrapping N and E for shaded outdoor use,Nagercoil
92,Kanyakumari,Warm_Humid,31.1,25.9,28.9,37.7,20.7,1607,"Jun,Jul,Oct,Nov",77.5,72.8,SW,13.9,5.01,8.1006,77.5439,Warm-Humid,NE,0.92,0.74,0.58,0.4,0.8,230,Filler slab with double-layered country tile,HIGH,LOW,Wide overhanging eaves (750mm+) for monsoon rain protection and shading,Ventilated ridge roof design for continuous hot-air exhaust,Courtyard with dense canopy trees to create cool micro-climate,0.34,E-W plan; sleeping wing on N with operable walls for monsoon breeze; kitchen on E with high exhaust openings; living on NE; deep covered verandah on S for rain protection; service rooms buffer W,Nagercoil
